3.3 chunk_size+growth_factor
Thread　number: 100
u1,100 growth_factor 1.05
 38414.8
STAT pid 24618
STAT uptime 595
STAT time 1559378529
STAT version 1.5.14
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 5.890810
STAT rusage_system 12.811969
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 108
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 78416822
STAT bytes_written 8009425
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 19
STAT hash_bytes 4194304
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 1020
STAT lru_maintainer_juggles 38589
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 60472481
STAT curr_items 497305
STAT total_items 1000000
STAT slab_global_page_pool 0
STAT expired_unfetched 0
STAT evicted_unfetched 502695
STAT evicted_active 0
STAT evictions 502695
STAT reclaimed 0
STAT crawler_reclaimed 0
STAT crawler_items_checked 0
STAT lrutail_reflocked 0
STAT moves_to_cold 1000000
STAT moves_to_warm 0
STAT moves_within_lru 0
STAT direct_reclaims 502695
STAT lru_bumps_dropped 0
END
u1,100 growth_factor 1.10
 35231.4
CC-Throughput_Latency_set_nopipe
CC-Throughput_Latency_set_pipe
CC-Throughput_Latency_get_nopipe
CC-Throughput_Latency_get_pipe
